ENSGALG00000026591	GNG12	2.48713188587058e-106	5.1
ENSGALG00000006456	C14H16orf45	4.83210331845551e-134	4.3
ENSGALG00000053328		6.06296117790466e-59	4.2
ENSGALG00000016602	ARHGAP6	3.50644039913878e-72	4.2
ENSGALG00000002118	KCNMB1	4.08819738778984e-92	4
ENSGALG00000033941	RORC	4.14460236124194e-76	3.8
ENSGALG00000048302		9.7889149897967e-41	3.7
ENSGALG00000030602	ADAM33	8.84702727723148e-114	3.7
ENSGALG00000007416	CD3E	2.42674555681373e-48	3.6
ENSGALG00000047182		8.49031135004632e-58	3.5
ENSGALG00000035599	CD24	2.36084413047626e-100	3.4
ENSGALG00000012952	BASP1	4.7678151865214e-86	3.3
ENSGALG00000013427	SORBS2	7.06404550877249e-29	3.2
ENSGALG00000003837	ADCY7	2.90724829247635e-79	3.2
ENSGALG00000015115	MAMDC2	9.11670325313776e-33	3.1
ENSGALG00000010770	SCIN	6.99564876624755e-65	3.1
ENSGALG00000048064		1.62312139112658e-83	3
ENSGALG00000015290	LIX1	1.13125142997903e-24	3
ENSGALG00000006407		4.33610302182255e-46	3
ENSGALG00000033087	STAT4	1.50017179188411e-80	2.9
ENSGALG00000008447	SH2D1A	1.01764128946901e-41	2.9
ENSGALG00000040371		5.17953851005575e-58	2.8
ENSGALG00000027198	TMEM47	2.3597242682712e-34	2.8
ENSGALG00000008840	ACSL5	1.77784538680164e-27	2.8
ENSGALG00000007025	CPNE8	5.96291710613112e-28	2.8
ENSGALG00000002282	TMEM200A	1.25258445491048e-56	2.8
ENSGALG00000036920	SLC22A5	8.71874624397251e-22	2.7
ENSGALG00000034188	PAG1	8.14698489056193e-38	2.7
ENSGALG00000014730	ELOVL7	5.56868814200674e-125	2.7
ENSGALG00000006715	OAF	1.32439047844068e-50	2.6
ENSGALG00000005422	PDLIM1	1.2120883459605e-73	2.6
ENSGALG00000002558	ASL1	4.02424075473099e-22	2.6
ENSGALG00000039924		2.97747935759882e-17	2.5
ENSGALG00000036240	AKAP12	1.26338663822678e-88	2.5
ENSGALG00000034855	HK2	7.64491664174327e-99	2.5
ENSGALG00000034279		6.09441830513833e-19	2.5
ENSGALG00000019003	PRAG1	3.35824107218056e-35	2.5
ENSGALG00000053581		8.25645965543185e-27	2.4
ENSGALG00000045758	SEC14L5	1.29961810451391e-19	2.4
ENSGALG00000044339		5.62202766231028e-79	2.4
ENSGALG00000037791	FRMD4B	4.64454459559597e-19	2.4
ENSGALG00000033593	UBE2E2	4.40743806975104e-63	2.4
ENSGALG00000030908		1.71458471967071e-52	2.4
ENSGALG00000030407	IL6R	3.8485270968074e-183	2.4
ENSGALG00000006677	P4HA2	2.39470837204044e-47	2.4
ENSGALG00000005094	GRAPL	2.67237306894498e-109	2.4
ENSGALG00000040493	PTN	3.39128064848573e-14	2.3
ENSGALG00000005194	CD72	3.15345935992851e-69	2.3
ENSGALG00000044668		3.15612148899442e-39	2.2
ENSGALG00000033234	JAK3	4.18367436296512e-23	2.2
ENSGALG00000031786	BLVRA	5.34950331436035e-177	2.2
ENSGALG00000015395	CD200L	1.06622726856867e-66	2.2
ENSGALG00000010158	KANK1	2.01980477585941e-36	2.2
ENSGALG00000052196		4.10133242985404e-22	2.1
ENSGALG00000050326		3.81431712944028e-50	2.1
ENSGALG00000042612		4.10630177038016e-13	2.1
ENSGALG00000026176	EXOC1L	8.46722682941533e-12	2.1
ENSGALG00000021271	MPZL3	9.81852164392542e-12	2.1
ENSGALG00000006112	SCN5A	1.44173131129112e-12	2.1
ENSGALG00000037611		1.81097665316164e-60	2
ENSGALG00000017644	COTL1	1.53876630297694e-120	2
ENSGALG00000017362	HAVCR1	4.31293464069193e-38	2
ENSGALG00000007868	BCO2	6.8435018149788e-11	2
ENSGALG00000007596		2.95507709620223e-24	2
ENSGALG00000006388	IL16	3.39670658139579e-77	2
ENSGALG00000006318	IL21R	5.03533323722168e-16	2
ENSGALG00000005402	DYNLRB2	7.15311215516991e-13	2
