ENSGALG00000020078	H3F3C	0	-8
ENSGALG00000002286	H3F3B	0	-7
ENSGALG00000039102	TOX	3.14377780904377e-137	-5.3
ENSGALG00000005610	SLC44A3	2.67237306894498e-109	-4.8
ENSGALG00000048035	GCNT2	4.81421762236255e-69	-4.5
ENSGALG00000027365	HIVEP3	1.55554665427949e-117	-4.1
ENSGALG00000031768	SPO11	3.97130937569517e-59	-3.9
ENSGALG00000039264	SLA	3.3960317531256e-97	-3.9
ENSGALG00000016906	SPRY2	7.1093323557451e-55	-3.8
ENSGALG00000027353	C10orf71	1.29880461971355e-212	-3.7
ENSGALG00000037669	FKBP9	3.58400895215323e-177	-3.6
ENSGALG00000053057		4.63780985532661e-37	-3.5
ENSGALG00000009424	FOXP2	6.3513348606431e-41	-3.4
ENSGALG00000009641	COL1A2	2.49659886722819e-42	-3.4
ENSGALG00000030357	ABL2	2.03882389608324e-47	-3.3
ENSGALG00000030229	CSMD2	1.22865283130729e-42	-3.1
ENSGALG00000039826	CNGA3	3.64099792035069e-43	-3
ENSGALG00000010352	ARHGEF26	1.53598534605245e-41	-2.9
ENSGALG00000023279	EPN3	3.12236315199182e-170	-2.9
ENSGALG00000046719		3.21843129632503e-20	-2.7
ENSGALG00000004531	PLOD1	2.11692677400751e-44	-2.6
ENSGALG00000034171	EPB41L1	7.66790628862958e-28	-2.6
ENSGALG00000009947	PLEKHH2	6.97967167282611e-17	-2.5
ENSGALG00000040465	ZEB2	3.47536683612778e-19	-2.5
ENSGALG00000002911	MOXD1	1.29318024850042e-142	-2.4
ENSGALG00000031843	ARHGAP18	7.94716749521042e-130	-2.4
ENSGALG00000036471	RFTN2	7.92697739036678e-17	-2.4
ENSGALG00000009048	ABLIM1	1.64832162613181e-14	-2.3
ENSGALG00000009901	DYRK2	1.94802057056825e-27	-2.3
ENSGALG00000015166	GCNT1	1.25571053325293e-17	-2.3
ENSGALG00000030845	ENHO	4.27126784965864e-17	-2.3
ENSGALG00000035916		7.11226108194738e-14	-2.3
ENSGALG00000040573	FMO3	9.58347601551103e-16	-2.3
ENSGALG00000009612	TGFB2	1.55707794961248e-47	-2.2
ENSGALG00000010874	UNC79	4.07827734641297e-38	-2.2
ENSGALG00000027891	NREP	6.84674702733046e-73	-2.2
ENSGALG00000014126		6.80737666391873e-29	-2.1
ENSGALG00000015605	BACH2	2.67529841485268e-29	-2.1
ENSGALG00000016736	CYFIP1	1.38313401266384e-30	-2.1
ENSGALG00000039861	PLXNB2	4.46202360736862e-21	-2.1
ENSGALG00000006755	USP2	5.21986142009651e-12	-2
ENSGALG00000008970	NRK	7.15258964094999e-58	-2
ENSGALG00000011024	CACHD1	4.31012629122905e-11	-2
ENSGALG00000011566	GYPC	1.43308550743335e-10	-2
